	Trait	TrainSet	ValidSet	Model	Test_Accuracy	Valid_Accuracy	MSE	Runtime	Leaves	Trees
184	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	1000.0	100.0
185	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	1000.0	100.0
186	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	1000.0	200.0
187	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.2412052110209073	5.056617971328073	0.0	1000.0	200.0
188	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	1000.0	200.0
189	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	1000.0	500.0
190	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	1000.0	500.0
191	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	1000.0	500.0
192	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	2000.0	50.0
193	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	2000.0	50.0
194	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	2000.0	50.0
195	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	2000.0	100.0
196	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	2000.0	100.0
197	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	2000.0	100.0
198	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.2412052110209073	5.056617971328073	0.0	2000.0	200.0
199	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	2000.0	200.0
200	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	2000.0	200.0
201	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	2000.0	500.0
202	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	2000.0	500.0
203	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	2000.0	500.0
204	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	5000.0	50.0
205	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	5000.0	50.0
206	smut	[1, 2, 4, 5]	3	RF	0.37868397558018435	0.2404244243174701	5.072576032291209	0.0	5000.0	50.0
207	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	5000.0	100.0
208	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	5000.0	100.0
209	smut	[1, 2, 4, 5]	3	RF	0.38637010872999733	0.2411671195090542	5.062960121972699	0.0	5000.0	100.0
210	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.2412052110209073	5.056617971328073	0.0	5000.0	200.0
211	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	5000.0	200.0
212	smut	[1, 2, 4, 5]	3	RF	0.3972236372486876	0.24120521102090736	5.056617971328073	0.0	5000.0	200.0
213	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	5000.0	500.0
214	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	5000.0	500.0
215	smut	[1, 2, 4, 5]	3	RF	0.39719571526092645	0.24660193699036728	5.034189165998976	0.0	5000.0	500.0
216	smut	[1, 2, 3, 5]	4	RF	0.2894996797298776	0.30010176984608894	4.909486424048707	0.0	50.0	50.0
217	smut	[1, 2, 3, 5]	4	RF	0.2894996797298776	0.30010176984608894	4.909486424048707	0.0	50.0	50.0
218	smut	[1, 2, 3, 5]	4	RF	0.2894996797298776	0.30010176984608894	4.909486424048707	0.0	50.0	50.0
219	smut	[1, 2, 3, 5]	4	RF	0.3162836070871358	0.29836913285416383	4.905292384931506	0.0	50.0	100.0
220	smut	[1, 2, 3, 5]	4	RF	0.3162836070871358	0.29836913285416383	4.905292384931506	0.0	50.0	100.0
